ID Year,Year,Average Commute Time,Geography,ID Geography,Slug Geography
2019,"2019",25.545617794693438,"United States","01000US","united-states"
2019,"2019",26.09819866779792,"Florida","04000US12","florida"
2019,"2019",30.965671191693858,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2019,"2019",33.389057750759875,"Brownsville, FL","16000US1209000","brownsville-fl"
2019,"2019",23.027797398927994,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2019,"2019",27.252059692212033,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2019,"2019",27.87756925826631,"El Portal, FL","16000US1220650","el-portal-fl"
2019,"2019",20.392156862745097,"Fisher Island, FL","16000US1222375","fisher-island-fl"
2019,"2019",32.11496028243601,"Gladeview, FL","16000US1225987","gladeview-fl"
2019,"2019",26.15284310316429,"Hialeah, FL","16000US1230000","hialeah-fl"
2019,"2019",27.744620878423696,"Miami, FL","16000US1245000","miami-fl"
2019,"2019",24.15213712216625,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2019,"2019",27.940015785319652,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2019,"2019",30.017142857142858,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2019,"2019",34.092125808610305,"West Little River, FL","16000US1276487","west-little-river-fl"
2019,"2019",26.77194421657096,"West Miami, FL","16000US1276525","west-miami-fl"
2019,"2019",28.200866701966056,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"
2018,"2018",25.3219381609654,"United States","01000US","united-states"
2018,"2018",25.806386552525694,"Florida","04000US12","florida"
2018,"2018",30.520447955204478,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2018,"2018",31.555075593952484,"Brownsville, FL","16000US1209000","brownsville-fl"
2018,"2018",23.212257849031396,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2018,"2018",27.019766034691408,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2018,"2018",26.341156747694885,"El Portal, FL","16000US1220650","el-portal-fl"
2018,"2018",32.275953859804794,"Gladeview, FL","16000US1225987","gladeview-fl"
2018,"2018",25.007527770127606,"Hialeah, FL","16000US1230000","hialeah-fl"
2018,"2018",27.737868541809874,"Miami, FL","16000US1245000","miami-fl"
2018,"2018",24.378660163975347,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2018,"2018",26.769936353425685,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2018,"2018",30.382854764877237,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2018,"2018",33.50823874038814,"West Little River, FL","16000US1276487","west-little-river-fl"
2018,"2018",27.32892804698972,"West Miami, FL","16000US1276525","west-miami-fl"
2018,"2018",27.854942046225045,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"
2017,"2017",25.133746660980382,"United States","01000US","united-states"
2017,"2017",25.50798788975759,"Florida","04000US12","florida"
2017,"2017",29.731360389644124,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2017,"2017",31.24564300128417,"Brownsville, FL","16000US1209000","brownsville-fl"
2017,"2017",22.297009858060292,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2017,"2017",27.32762896825397,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2017,"2017",26.23005877413938,"El Portal, FL","16000US1220650","el-portal-fl"
2017,"2017",31.252240143369175,"Gladeview, FL","16000US1225987","gladeview-fl"
2017,"2017",23.395408749616916,"Hialeah, FL","16000US1230000","hialeah-fl"
2017,"2017",26.93067802496768,"Miami, FL","16000US1245000","miami-fl"
2017,"2017",24.033442244858737,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2017,"2017",25.582685904550498,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2017,"2017",29.341483460036983,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2017,"2017",31.684277937880243,"West Little River, FL","16000US1276487","west-little-river-fl"
2017,"2017",25.914074074074072,"West Miami, FL","16000US1276525","west-miami-fl"
2017,"2017",27.40711140293499,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"
2016,"2016",24.954208151047904,"United States","01000US","united-states"
2016,"2016",25.256745820712617,"Florida","04000US12","florida"
2016,"2016",29.23103021199784,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2016,"2016",30.47517730496454,"Brownsville, FL","16000US1209000","brownsville-fl"
2016,"2016",22.361617500828636,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2016,"2016",27.31785220994475,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2016,"2016",26.819595645412132,"El Portal, FL","16000US1220650","el-portal-fl"
2016,"2016",28.92465426800191,"Gladeview, FL","16000US1225987","gladeview-fl"
2016,"2016",22.69370021723389,"Hialeah, FL","16000US1230000","hialeah-fl"
2016,"2016",26.679426078624203,"Miami, FL","16000US1245000","miami-fl"
2016,"2016",23.82631176919913,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2016,"2016",25.157116451016638,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2016,"2016",27.514310876265963,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2016,"2016",30.239080276871668,"West Little River, FL","16000US1276487","west-little-river-fl"
2016,"2016",27.23599632690542,"West Miami, FL","16000US1276525","west-miami-fl"
2016,"2016",27.085978889694978,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"
2015,"2015",24.78487704991627,"United States","01000US","united-states"
2015,"2015",25.024674139251253,"Florida","04000US12","florida"
2015,"2015",28.649860149719583,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2015,"2015",29.407894736842106,"Brownsville, FL","16000US1209000","brownsville-fl"
2015,"2015",21.336426720173897,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2015,"2015",25.854014598540147,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2015,"2015",26.07250755287009,"El Portal, FL","16000US1220650","el-portal-fl"
2015,"2015",30.396211312700107,"Gladeview, FL","16000US1225987","gladeview-fl"
2015,"2015",22.719095593479114,"Hialeah, FL","16000US1230000","hialeah-fl"
2015,"2015",26.125044218324074,"Miami, FL","16000US1245000","miami-fl"
2015,"2015",23.67521971916355,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2015,"2015",25.44917498472194,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2015,"2015",27.721774193548388,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2015,"2015",27.905263157894737,"West Little River, FL","16000US1276487","west-little-river-fl"
2015,"2015",25.497536945812808,"West Miami, FL","16000US1276525","west-miami-fl"
2015,"2015",26.744760687117836,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"
2014,"2014",24.58629973911742,"United States","01000US","united-states"
2014,"2014",24.78391776346691,"Florida","04000US12","florida"
2014,"2014",28.11577650401895,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2014,"2014",29.249718785151856,"Brownsville, FL","16000US1209000","brownsville-fl"
2014,"2014",20.91630750285865,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2014,"2014",24.98409235524043,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2014,"2014",24.587073608617594,"El Portal, FL","16000US1220650","el-portal-fl"
2014,"2014",30.936986301369863,"Gladeview, FL","16000US1225987","gladeview-fl"
2014,"2014",22.105448747432007,"Hialeah, FL","16000US1230000","hialeah-fl"
2014,"2014",25.71206637158494,"Miami, FL","16000US1245000","miami-fl"
2014,"2014",23.26395526182003,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2014,"2014",24.790300139137347,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2014,"2014",25.72161422708618,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2014,"2014",28.538940312799234,"West Little River, FL","16000US1276487","west-little-river-fl"
2014,"2014",25.473594548551958,"West Miami, FL","16000US1276525","west-miami-fl"
2014,"2014",26.398925826465412,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"
2013,"2013",24.41870746316463,"United States","01000US","united-states"
2013,"2013",24.634159931407844,"Florida","04000US12","florida"
2013,"2013",27.79640999733592,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl"
2013,"2013",29.16030534351145,"Brownsville, FL","16000US1209000","brownsville-fl"
2013,"2013",19.899015113693096,"Coral Gables, FL","16000US1214250","coral-gables-fl"
2013,"2013",24.311353363467163,"Coral Terrace, FL","16000US1214412","coral-terrace-fl"
2013,"2013",23.460111317254174,"El Portal, FL","16000US1220650","el-portal-fl"
2013,"2013",30.86754002911208,"Gladeview, FL","16000US1225987","gladeview-fl"
2013,"2013",22.196567246415984,"Hialeah, FL","16000US1230000","hialeah-fl"
2013,"2013",25.33490044871361,"Miami, FL","16000US1245000","miami-fl"
2013,"2013",23.07048665942044,"Miami Beach, FL","16000US1245025","miami-beach-fl"
2013,"2013",23.81444332998997,"Miami Shores, FL","16000US1245175","miami-shores-fl"
2013,"2013",24.326097328244273,"North Bay Village, FL","16000US1249225","north-bay-village-fl"
2013,"2013",28.161032979685828,"West Little River, FL","16000US1276487","west-little-river-fl"
2013,"2013",25.329975686002083,"West Miami, FL","16000US1276525","west-miami-fl"
2013,"2013",26.13151087532779,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl"