walk_score,transit_score,bike_score,neighbourhood
42,28,30,Allied Gardens
49,58,69,Alta Vista
,,,Amphitheater And Water Park
21,46,30,Balboa Park
,,,Bario Logan
,,,Bay Ho
,,,Bay Park
,,,Bay Terrace
,,,Bella Lago
,,,Bird Land
,,,Bonita Long Canyon
,,,Carmel Mountain
,,,Carmel Valley
,,,Chollas View
,,,City Heights East
,,,City Heights West
,,,Clairemont Mesa
,,,College Area
,,,Columbia
,,,Core
,,,Cortez Hill
,,,Darnall
,,,Del Cerro
,,,Del Mar Heights
,,,East Lake
,,,Eastlake Trails
,,,Eastlake Vistas
,,,Eastlake Woods
,,,East Village
,,,Egger Highlands
,,,El Cerritos
,,,Emerald Hills
,,,Encanto
,,,Estlake Greens
,,,Fenton St
,,,Gaslamp Quarter
,,,Gateway
,,,Golf Course
,,,Grant Hill
,,,Grantville
,,,Horton Plaza
,,,Jomacha-Lomita
,,,Kearny Mesa
,,,Kensington
,,,La Jolla
,,,La Jolla Village
,,,Lake Murray
,,,Lincoln Park
,,,Linda Vista
,,,Little Italy
,,,Loma Portal
,,,Lynwood Hills
,,,Marina
,,,Memorial
,,,Midtown
,,,Midtown District
,,,Miramar
,,,Mira Mesa
,,,Mission Bay
,,,Mission Valley
,,,Moreno Mission
,,,Mountain View
,,,Mount Hope
,,,Nestor
,,,Normal Heights
,,,North City
,,,North Clairemont
,,,North Hills
,,,Northwest
,,,Oak Park
,,,Ocean Beach
,,,Old Town
,,,Otay Ranch
,,,Pacific Beach
,,,Palm City
,,,Paradise Hills
,,,Park West
,,,Paseo Ranchoero
,,,Rancho Bernadino
,,,Rancho Del Rey
,,,Rancho Penasquitos
,,,Rolando
,,,Rolling Hills Ranch
,,,Roseville
,,,Sabre Springs
,,,San Carlos
,,,San Ysidro
,,,Scripps Ranch
,,,Serra Mesa
,,,Sky Line
,,,Sorrento Valley
,,,Southcrest
,,,South Park
,,,Southwest
,,,Sunbow
,,,Talmadge
,,,Terra Nova
,,,Thomy Locust Pl
,,,Tierrasanta
,,,Tijuana River Valley
,,,Torrey Pines
,,,University City
,,,Valencia Park
,,,Village Center
,,,Webster
,,,West University Heights
,,,Wooded Area
,,,Yosemite Dr